MSN,YYYYMM,Value,Column_Order,Description,Unit
CKTCEUS,200001,192.738,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200002,175.368,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200003,172.015,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200004,156.02,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200005,169.991,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200006,183.787,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200007,191.528,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200008,198.369,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200009,177.215,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200010,175.597,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200011,174.235,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200012,188.944,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200013,2155.807,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200101,190.794,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200102,165.174,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200103,170.709,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200104,155.043,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200105,166.9,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200106,177.256,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200107,194.685,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200108,198.766,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200109,170.512,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200110,164.815,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200111,159.53,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200112,174.108,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200113,2088.292,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200201,176.083,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200202,156.201,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
CKTCEUS,200203,164.255,1,"Coal, Including Coal Coke Net Imports, CO2 Emissions",Million Metric Tons of Carbon Dioxide
