MSN,YYYYMM,Value,Column_Order,Description,Unit
ELEGPUS,200001,315.035,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200002,281.3,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200003,288.212,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200004,272.47,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200005,309.092,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200006,325.431,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200007,342.104,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200008,353.254,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200009,298.835,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200010,275.711,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200011,271.325,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200012,304.761,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200013,3637.529,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200101,318.736,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200102,270.971,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200103,287.7,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200104,265.855,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200105,288.166,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200106,315.148,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200107,343.834,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200108,356.152,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200109,293.882,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200110,281.391,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200111,266.155,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200112,292.063,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200113,3580.053,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200201,306.171,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200202,269.476,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200203,289.322,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200204,277.126,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200205,294.517,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200206,327.553,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200207,366.98,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200208,360.351,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200209,317.976,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200210,294.096,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200211,283.374,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200212,311.516,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200213,3698.458,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200301,327.446,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200302,286.699,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200303,291.086,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200304,273.016,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200305,294.241,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200306,315.306,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200307,360.116,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200308,367.42,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200309,309.751,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200310,293.289,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200311,284.902,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200312,317.887,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200313,3721.159,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200401,332.296,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200402,301.278,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200403,295.508,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200404,277.603,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200405,313.916,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200406,331.531,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200407,362.932,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200408,354.509,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200409,322.329,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200410,299.476,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
ELEGPUS,200411,289.208,1,"Electricity Net Generation, Electric Power Sector",Billion Kilowatthours
