"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"EMFDBUS","198101","1.08","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198102","0.976","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198103","1.08","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198104","1.045","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198105","1.08","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198106","1.045","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198107","1.08","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198108","1.08","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198109","1.045","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198110","1.08","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198111","1.045","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198112","1.08","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198113","12.72","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198201","2.922","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198202","2.639","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198203","2.922","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198204","2.828","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198205","2.922","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198206","2.828","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198207","2.922","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198208","2.922","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198209","2.828","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198210","2.922","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198211","2.828","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198212","2.922","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198213","34.404","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198301","5.363","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198302","4.844","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198303","5.363","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198304","5.19","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198305","5.363","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198306","5.19","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198307","5.363","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198308","5.363","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198309","5.19","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198310","5.363","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198311","5.19","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198312","5.363","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198313","63.143","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198401","6.547","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198402","6.125","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198403","6.547","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198404","6.336","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198405","6.547","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198406","6.336","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198407","6.547","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198408","6.547","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198409","6.336","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198410","6.547","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198411","6.336","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198412","6.547","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198413","77.302","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198501","7.911","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198502","7.146","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198503","7.911","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198504","7.656","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198505","7.911","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198506","7.656","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198507","7.911","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
"EMFDBUS","198508","7.911","1","Fuel Ethanol, Excluding Denaturant, Feedstock","Trillion Btu"
